;total;victim;sample;average;variance;SURBs
2100;0;0;0;0.0;0.0;0
2200;0;0;0;0.0;0.0;0
2300;0;0;0;0.0;0.0;0
2400;0;0;0;0.0;0.0;0
2500;0;0;0;0.0;0.0;0
2600;0;0;0;0.0;0.0;0
2700;0;0;0;0.0;0.0;0
2800;0;0;0;0.0;0.0;0
2900;0;0;0;0.0;0.0;0
3000;0;0;0;0.0;0.0;0
3100;0;0;0;0.0;0.0;0
3200;0;0;0;0.0;0.0;0
3300;11;0;0;0.011011011011011011;0.010900680239357677;0
3400;97;0;0;0.0970970970970971;0.08976110378916119;0
3500;386;0;0;0.3863863863863864;0.39163813111708706;0
3600;923;0;4;0.923923923923924;0.9320823829841973;0
3700;1880;1;1;1.8808808808808808;1.9366982212673507;0
3800;3013;0;5;3.016016016016016;2.9416269977391787;0
3900;3936;0;4;3.93993993993994;3.8440845655274596;0
4000;4615;2;2;4.617617617617618;4.991913757444824;0
4100;5066;0;7;5.071071071071071;5.358671296547045;0
4200;5352;0;6;5.357357357357357;5.61064471284914;0
4300;5462;0;8;5.4674674674674675;5.617928549792223;0
4400;5422;0;6;5.4274274274274275;5.373234958405263;0
4500;5505;0;6;5.51051051051051;5.4866128653704145;0
4600;5522;2;6;5.525525525525525;5.704508115329771;0
4700;5475;4;8;5.476476476476477;5.618434065327821;0
4800;5398;1;8;5.402402402402402;5.597429092419019;0
4900;5485;3;5;5.4874874874874875;5.500594783159925;0
5000;5525;6;5;5.524524524524525;5.682514177504158;0
5100;5607;3;4;5.60960960960961;6.037823394536839;0
5200;5482;5;6;5.4824824824824825;5.225895233911246;0
5300;5457;1;3;5.461461461461462;5.833934134535323;0
5400;5559;2;2;5.5625625625625625;5.8475349096591875;0
5500;5434;8;7;5.431431431431432;5.441936926906858;0
5600;5523;9;7;5.51951951951952;5.756883135640651;0
5700;5455;8;1;5.4524524524524525;5.264019530552603;0
5800;5482;4;5;5.483483483483483;5.412302081640749;0
5900;5515;4;4;5.516516516516517;5.732943364205892;0
6000;5411;4;5;5.412412412412412;5.346779645376834;0
6100;5434;3;8;5.436436436436437;5.025765244202172;0
6200;5589;4;10;5.59059059059059;5.608769089731014;0
6300;5620;2;6;5.623623623623623;5.733950383248964;0
6400;5564;6;4;5.563563563563563;5.869452618951673;0
6500;5397;6;5;5.396396396396397;5.860748524075181;0
6600;5460;9;4;5.456456456456457;5.691238332520888;0
6700;5356;9;6;5.352352352352352;5.224420813599153;0
6800;5543;3;8;5.545545545545545;5.039757192061794;0
6900;5568;3;9;5.57057057057057;5.970716207189161;0
7000;5472;3;7;5.474474474474475;5.429959017133369;0
7100;5603;5;10;5.603603603603603;5.512051129285599;0
7200;5494;8;10;5.491491491491492;5.592863404486641;0
7300;5612;3;6;5.614614614614615;5.942511649926497;0
7400;5527;7;10;5.525525525525525;5.163425951001108;0
7500;5584;6;6;5.583583583583583;5.844459690151106;0
7600;5716;3;7;5.718718718718718;6.236432825611079;0
7700;5465;6;5;5.464464464464465;5.493475439367243;0
7800;5570;5;8;5.57057057057057;5.515806387549886;0
7900;5521;5;8;5.521521521521522;5.420127542372053;0
8000;5487;10;8;5.4824824824824825;5.7369172779994315;0
8100;5487;9;3;5.483483483483483;5.540558594666802;0
8200;5310;5;8;5.31031031031031;4.981767338480776;0
8300;5436;8;9;5.433433433433433;5.261847017358041;1
8400;5506;6;6;5.505505505505505;5.029779278276251;1
8500;5513;6;4;5.5125125125125125;5.234061717027663;2
8600;5496;20;5;5.481481481481482;5.794997402211825;8
8700;5509;11;4;5.503503503503503;5.308354446631006;8
8800;5574;16;3;5.563563563563563;5.592899512739247;13
8900;5459;14;3;5.45045045045045;5.820939175648607;7
9000;5509;7;5;5.5075075075075075;5.151997689071883;5
9100;5453;2;5;5.456456456456457;5.192240336528918;1
9200;5491;6;7;5.49049049049049;5.356372404468596;2
9300;5534;9;4;5.53053053053053;5.640099016852443;0
9400;5434;1;4;5.438438438438438;5.420805575114153;0
9500;5488;4;9;5.48948948948949;5.500640921482646;1
9600;5596;11;5;5.59059059059059;5.821193939430416;0
9700;5506;8;4;5.503503503503503;5.324386510759263;0
9800;5596;5;3;5.596596596596597;5.254938305038477;0
9900;5438;5;4;5.438438438438438;5.685334633230356;0
10000;5584;5;3;5.584584584584585;5.71603467194648;0
